Subject,Start Date,Start Time,End Time,Description,Location
Computer Systems Architecture,10/18/2022,08:00 AM,10:00 AM,LECTURE | NICOLA GIGANTE,BZ C3.06
Introduction to Programming/Computer Programming,10/18/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C3.06
Intro to Programming/Computer Programming LAB A,10/18/2022,02:00 PM,04:00 PM,LABORATORY | DAVID MASSIMO,BZ C2.02
Intro to Programming/Computer Programming LAB B,10/18/2022,02:00 PM,04:00 PM,LABORATORY | MARINA ANDRIC,BZ C3.06
English for Computer Scientists 1 - Group A,10/18/2022,04:00 PM,06:00 PM,LECTURE | JEMMA F. PRIOR,BZ C3.06
English for Computer Scientists 1 - Group B,10/18/2022,04:00 PM,06:00 PM,LECTURE | PETER JAMES BRANNICK,BZ C2.02
Computer Systems Architecture,10/19/2022,08:00 AM,10:00 AM,LECTURE | NICOLA GIGANTE,BZ C3.06
Discrete Mathematics,10/19/2022,10:00 AM,12:00 AM,LECTURE | OLIVER KUTZ,BZ C3.06
English for Computer Scientists 1 - Group B,10/19/2022,04:00 PM,06:00 PM,LECTURE | PETER JAMES BRANNICK,BZ RAINERUM SALA AZZURRA
Linear Algebra,10/20/2022,08:00 AM,10:00 AM,LECTURE | BRUNO CARPENTIERI,BZ C3.06
Introduction to Programming/Computer Programming,10/20/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C2.01
Intro to Programming/Computer Programming LAB A,10/20/2022,02:00 PM,03:00 PM,LABORATORY | DAVID MASSIMO,BZ RAINERUM SALA AZZURRA
Intro to Programming/Computer Programming LAB B,10/20/2022,02:00 PM,03:00 PM,LABORATORY | MARINA ANDRIC,BZ D0.03
Linear Algebra,10/21/2022,08:00 AM,10:00 AM,LECTURE | BRUNO CARPENTIERI,BZ RAINERUM SALA AZZURRA
Introduction to Programming/Computer Programming,10/21/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C2.01
Linear Algebra - Lab A,10/21/2022,02:00 PM,04:00 PM,LABORATORY | BRUNO CARPENTIERI,BZ E2.22
Discrete Mathematics,10/24/2022,02:00 PM,04:00 PM,LECTURE | OLIVER KUTZ,BZ C3.06
Discrete Mathematics Lab A,10/24/2022,04:00 PM,06:00 PM,LABORATORY | OLIVER KUTZ,BZ C3.06
Computer Systems Architecture,10/25/2022,08:00 AM,10:00 AM,LECTURE | NICOLA GIGANTE,BZ C3.06
Introduction to Programming/Computer Programming,10/25/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C3.06
Intro to Programming/Computer Programming LAB A,10/25/2022,02:00 PM,04:00 PM,LABORATORY | DAVID MASSIMO,BZ C2.02
Intro to Programming/Computer Programming LAB B,10/25/2022,02:00 PM,04:00 PM,LABORATORY | MARINA ANDRIC,BZ C3.06
English for Computer Scientists 1 - Group A,10/25/2022,04:00 PM,06:00 PM,LECTURE | JEMMA F. PRIOR,BZ C3.06
English for Computer Scientists 1 - Group B,10/25/2022,04:00 PM,06:00 PM,LECTURE | PETER JAMES BRANNICK,BZ C2.02
Computer Systems Architecture,10/26/2022,08:00 AM,10:00 AM,LECTURE | NICOLA GIGANTE,BZ C3.06
Discrete Mathematics,10/26/2022,10:00 AM,12:00 AM,LECTURE | OLIVER KUTZ,BZ C3.06
